id,start_time,end_time,title,tags,people,venues,description
11703,"Fri, 18 Apr 2014 08:00:00 -0400","Fri, 18 Apr 2014 09:00:00 -0400",From Dragonlance to That Movie: D&D spinoffs in other media,"Needs People, Tabletop Gaming","Krisjan Lie, John Parker",Champagne B (G),"D&D changed tabletop gaming in ways that still reverberate throughout the platform. It has also spawned countless spinoffs in other genres, such as novels and films. Come and talk about the effects D&D had on the world, some of the best and worst spinoffs, and why that is."
11705,"Sat, 19 Apr 2014 02:30:00 -0400","Sat, 19 Apr 2014 03:30:00 -0400",Please Explain: Guardians of the Galaxy and Antman,"Comics, Film, Needs People","Stephen Griffiths, Candice Schilder",Provence (L2),"Marvel's upcoming films Guardians of the Galaxy and Antman are getting a lot of buzz, but they're not exactly the most well-known titles. Come here for a brief descriptor of what these are, and why you should (or shouldn't) be interested."
11706,"Fri, 18 Apr 2014 10:00:00 -0400","Fri, 18 Apr 2014 11:00:00 -0400",Shark Watch: Good Shows Gone Bad,"TV, TV","Krisjan Lie, John Parker, Candice Schilder",Champagne B (G),"Even the best TV shows will eventually hit a point where they just don't work. Which shows have ""jumped the shark"" in the last 12 months? Why did this happen?"
11707,"Fri, 18 Apr 2014 09:00:00 -0400","Fri, 18 Apr 2014 10:00:00 -0400",Professional AUs: Reimagining Stories In Different Settings,"Books, TV, TV","Kitty Hemsley, Matt Holmes, Krisjan Lie",Champagne B (G),"Throughout the world, popular stories have been told and told again in different settings and on different worlds. _Treasure Island_ was given a space theme in _Treasure Planet_; _Sherlock Holmes_ was pulled into the modern world with _Elemenary_ and _Sherlock_; _Pride And Prejudice_ had new life breathed into it with _The Lizzie Bennet Diaries_; and many more!

What is the appeal to fans and creators of these new stories? Why are they so popular? We discuss our favourite professional ""alternate universe"" stories and why we love them."
11708,"Sat, 19 Apr 2014 05:30:00 -0400","Sat, 19 Apr 2014 06:30:00 -0400",Art Show Tear Down,"",Sorsha Roberts,Champagne Foyer,
11709,"Sat, 19 Apr 2014 04:30:00 -0400","Sat, 19 Apr 2014 05:30:00 -0400",She-Roes and Heroines: Our Favourite Kick-Arse Women,"Books, Comics, Fandom, Film, Social Justice, TV","Sally Beasley, Amanda Bridgeman, Karina Coldrick, Sorsha Roberts",Champagne B (G),Women are interesting! Lets talk about some of our favourite women in fiction and why they are so awesome.
11710,"Sun, 20 Apr 2014 09:00:00 -0400","Sun, 20 Apr 2014 10:00:00 -0400",Cards Against Humanity,Adult Only,Margaret Dunlop,Family Room (L1),Come and play this most diabolical of card games! *Warning: will contain offensive material and adult content.*
11711,"Thu, 17 Apr 2014 10:00:00 -0400","Thu, 17 Apr 2014 11:59:00 -0400",Geeky Sing-Along,Fandom,Desiree Heald,Champagne A (G),Come along and sing-along to your favourite geeky tunes!
11712,"Fri, 18 Apr 2014 08:00:00 -0400","Fri, 18 Apr 2014 09:00:00 -0400",Queer Women In Speculative Fiction,"Books, Comics, Film, Needs People, Social Justice, TV",Sally Beasley,Family Room (L1),"Queer women have a rich and beautiful history within SF. Some of our favourite works will be discussed here, as well as a look to the future. What will it look like? What do we want it to look like?"
11713,"Thu, 17 Apr 2014 08:00:00 -0400","Thu, 17 Apr 2014 09:00:00 -0400",The Worst RPGs Of All Time,"Needs People, Tabletop Gaming","Dave Cake, Andy Hahn",Champagne B (G),"Some RPGs are good, some are bad, some are terrible. Then there are the worst RPGs in existence! This panel is about that last category.

Moderator: Andy Hahn"
11714,"Fri, 18 Apr 2014 04:30:00 -0400","Fri, 18 Apr 2014 05:30:00 -0400",Lost In Translation: US Adaptions of UK and Australian Television,"TV, TV","David Gunn, Matt Holmes, Damian Magee, Sarah McFarlane",Provence (L2),"_Queer As Folk_, _Life On Mars_, _Rake_. UK and Australian TV shows have been adapted by US producers for both good and ill results. We talk about what worked, what didn't, and why."
11715,"Fri, 18 Apr 2014 03:30:00 -0400","Fri, 18 Apr 2014 04:30:00 -0400",Comic Art Corrections,"Comics, Social Justice",Nancy Lorenz,Provence (L2),"Comic book art can be beautiful, but it can also be horribly, horribly wrong. From the dreadfully mangled anatomy of Rob Liefeld to the recycled hackery of Greg Land, sometimes comic art is just bad. 

Resident artist Nancy Lorenz talks about some of the worst offenders of comic book art, and discusses how often this contributes to the objectification of women that is still so prevalent in the industry."
11716,"Sun, 20 Apr 2014 08:00:00 -0400","Sun, 20 Apr 2014 09:00:00 -0400",Magician to Magician's End,"","Chris Coman, Matt Holmes, Matt Lindus",Bordeaux North (L1),"The storm had broken.
Pug danced along the edge of the rocks, his feet finding scant purchase as he made his way among the tide pools.
From the first publication of Raymond E. Feist's ""Magician"" in 1982, to the stunning conclusion of The Riftwar Cycle with ""Magician's End"" in 2013, through Midkemia and Kelewan, around the world to Novindus, and into the Dasati and Demon realms, Pug, Tomas and a rich host of characters have kept us amazed and transfixed in wonderment.
Come with us on a journey of Magic and Adventure as we track our favourite characters through the 30 books written in this rich multiverse."
11717,"Sun, 20 Apr 2014 01:30:00 -0400","Sun, 20 Apr 2014 02:30:00 -0400",The Dagger of Dresnia Book Launch,"",Satima Flavell,Champagne Foyer,"The Dagger of Dresnia, written by local fan Satima Flavell, is due for release in April. Come and help launch the book and celebrate!"
11718,"Fri, 18 Apr 2014 05:00:00 -0400","Fri, 18 Apr 2014 06:30:00 -0400",The Twelfth Planet Press Cocktail Hour,"","Isobelle Carmody, Alisa Krasnostein",Champagne A (G),
11719,"Sun, 20 Apr 2014 08:00:00 -0400","Sun, 20 Apr 2014 08:30:00 -0400",Pre-Awards Filk Presentation,"",Ann Poore,"Champagne A (G), Champagne B (G)",Local talent Ann Poore presents some fan-songs in this wonderful concert. Some work from Dave Luckett will be presented.
11720,"Thu, 17 Apr 2014 22:30:00 -0400","Thu, 17 Apr 2014 23:30:00 -0400",Anne Bishop Reading,Books,Anne Bishop,Bordeaux North (L1),Anne Bishop will read some of her works for us.
11721,"Fri, 18 Apr 2014 02:30:00 -0400","Fri, 18 Apr 2014 03:30:00 -0400",Glenda Larke Reading,"",Glenda Larke,Bordeaux North (L1),
11723,"Sat, 19 Apr 2014 03:30:00 -0400","Sat, 19 Apr 2014 04:30:00 -0400",Isobelle Carmody Reading,"",Isobelle Carmody,Champagne B (G),
11724,"Sat, 19 Apr 2014 22:30:00 -0400","Sat, 19 Apr 2014 23:30:00 -0400",The History of WA Fandom,"Fandom, The Real World","Sally Beasley, Damian Magee, Ian Nichols, Ian Nichols",Champagne B (G),"Western Australia has one of the largest, most cohesive fandoms in Australia. It has a rich history and is full of wonderful people. Lets discuss some of the history of our fandom, and why we think it rocks.

Moderator: Damian Magee"
11725,"Thu, 17 Apr 2014 23:30:00 -0400","Fri, 18 Apr 2014 00:30:00 -0400",Creating Believable Magic Systems,"Books, Craft of Writing","Anne Bishop, Jim Butcher, Isobelle Carmody, Anthony Panegyres",Champagne A (G),"Magic systems are one of the core aspects of fantasy and fantastical writing. A good magic system can cause the reader to suspend disbelief to such an extent that even the bizarre seems believable. 
But how do you craft such a world? Our panelists discuss the dos and don't of crafting magic systems."
11726,"Sun, 20 Apr 2014 02:30:00 -0400","Sun, 20 Apr 2014 03:30:00 -0400","It's Earth, Jim, But Not As We Know It: Creating Alternate Earths","Alternate Earth, Books, Craft of Writing",Jim Butcher,Provence (L2),"From alternate history to urban fantasy, different versions of our world have been a staple to the SF industry. But what separates a believable, albeit strange, earth from a different planet entirely? Our panelists discuss the ways in which alternate earths change, remain the same, and how this works for writing."
